Name,symbol,address,owner,decimals,coingecko,logo
Curve DAO Token,CRV,https://etherscan.io/address/0xd533a949740bb3306d119cc777fa900ba034cd52,0x,18,https://www.coingecko.com/en/coins/curve-dao-token,https://ethplorer.io/images/CRVd533a949.png
apM Coin,APM,https://etherscan.io/address/0xc8c424b91d8ce0137bab4b832b7f7d154156ba6c,0xe7e7fc27ae4a9cd1ede050978189623d730f23d7,18,https://www.coingecko.com/en/coins/apm-coin,https://ethplorer.io/images/APMc8c424b9.png
Amun Ether 3x Daily Short,ETH3S,https://etherscan.io/address/0xef9c8a1b3ce9055266e1ce20b98a4c882f0e5c78,0x786ea62bc54613c3639a6275f88d3b86ce3a0d45,18,https://www.coingecko.com/en/coins/amun-ether-3x-daily-short,https://ethplorer.io/images/ETH3Sef9c8a1b.png
TNC Coin,TNC,https://etherscan.io/address/0x39e743fee400a5d9b36f1167b70c10e8f06440e5,0x,18,https://www.coingecko.com/en/coins/tnc-coin,https://ethplorer.io/images/TNC39e743fe.png
USDK,USDK,https://etherscan.io/address/0x1c48f86ae57291f7686349f12601910bd8d470bb,0x46dec2f9093221acab7a806f536f783fea6bda32,18,https://www.coingecko.com/en/coins/usdk,https://ethplorer.io/images/USDK1c48f86a.png
AirSwap,AST,https://etherscan.io/address/0x27054b13b1b798b345b591a4d22e6562d47ea75a,0x000000000000000000000000000000000000dead,4,https://www.coingecko.com/en/coins/airswap,https://ethplorer.io/images/airswap.png
Homeros,HMR,https://etherscan.io/address/0xb1a30851e3f7d841b231b086479608e17198363a,0xf33ea14f55a6e1c04a809eca4c3a8f55a594fd9e,18,https://www.coingecko.com/en/coins/homeros,https://ethplorer.io/images/HMRb1a30851.jpg
Davinci Coin,DAC,https://etherscan.io/address/0xaad54c9f27b876d2538455dda69207279ff673a5,0x99aa1d6b54561ef973ef8e518f3270e0638bb53a,18,https://www.coingecko.com/en/coins/davinci-coin,https://ethplorer.io/images/DACaad54c9f.png
Aave,LEND,https://etherscan.io/address/0x80fb784b7ed66730e8b1dbd9820afd29931aab03,0x,18,https://www.coingecko.com/en/coins/ethlend,https://ethplorer.io/images/aave.png
Aragon,ANT,https://etherscan.io/address/0x960b236a07cf122663c4303350609a66a7b288c0,0x,18,https://www.coingecko.com/en/coins/aragon,https://ethplorer.io/images/ANT960b236a.png
cDAI,CDAI,https://etherscan.io/address/0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,0x,8,https://www.coingecko.com/en/coins/cdai,https://ethplorer.io/images/cdai.png
UMA,UMA,https://etherscan.io/address/0x04fa0d235c4abf4bcf4787af4cf447de572ef828,0x,18,https://www.coingecko.com/en/coins/uma,https://ethplorer.io/images/uma.png
Aavegotchi GHST Token,GHST,https://etherscan.io/address/0x3f382dbd960e3a9bbceae22651e88158d2791550,0x,18,https://www.coingecko.com/en/coins/aavegotchi,https://ethplorer.io
YFValue,YFV,https://etherscan.io/address/0x45f24baeef268bb6d63aee5129015d69702bcdfa,0x,18,https://www.coingecko.com/en/coins/yfv-finance,https://ethplorer.io/images/YFV45f24bae.jpg
Nexus Mutual,NXM,https://etherscan.io/address/0xd7c49cee7e9188cca6ad8ff264c1da2e69d4cf3b,0x,18,https://www.coingecko.com/en/coins/nxm,https://ethplorer.io/images/nxm.png
Amun Bitcoin 3x Daily Long,BTC3L,https://etherscan.io/address/0x7e5f9f248e84ef0b1f63586323e92a0d91b15568,0x786ea62bc54613c3639a6275f88d3b86ce3a0d45,18,https://www.coingecko.com/en/coins/amun-bitcoin-3x-daily-long,https://ethplorer.io/images/BTC3L7e5f9f24.png
The Midas Touch Gold,TMTG,https://etherscan.io/address/0x10086399dd8c1e3de736724af52587a2044c9fa2,0x815863398cbcdd070fa93c42550538c9e2415bcf,18,https://www.coingecko.com/en/coins/the-midas-touch-gold,https://ethplorer.io/images/TMTG10086399.png
DIA,DIA,https://etherscan.io/address/0x84ca8bc7997272c7cfb4d0cd3d55cd942b3c9419,0x5737bf56559dd32d8880cfa236fe613e2162e157,18,https://www.coingecko.com/en/coins/dia-data,https://ethplorer.io/images/DIA84ca8bc7.png
LEO Token,LEO,https://etherscan.io/address/0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,0x,18,https://www.coingecko.com/en/coins/leo-token,https://ethplorer.io/images/LEO2af5d2ad.png
Decentraland,MANA,https://etherscan.io/address/0x0f5d2fb29fb7d3cfee444a200298f468908cc942,0xa66d83716c7cfe425b44d0f7ef92de263468fb3d,,https://www.coingecko.com/en/coins/decentraland,https://ethplorer.io/images/MANA0f5d2fb2.png
FairGame,FAIR,https://etherscan.io/address/0x9b20dabcec77f6289113e61893f7beefaeb1990a,0x,18,https://www.coingecko.com/en/coins/fairgame,https://ethplorer.io/images/FAIR9b20dabc.png
renBTC,RENBTC,https://etherscan.io/address/0xeb4c2781e4eba804ce9a9803c67d0893436bb27d,0xe4b679400f0f267212d5d812b95f58c83243ee71,8,https://www.coingecko.com/en/coins/renbtc,https://ethplorer.io/images/renbtc.png
Precium,PCM,https://etherscan.io/address/0x6096d2460cf5177e40b515223428dc005ad35123,0x3e654b8784c579e8358cea798f4f9da2b1f1e30e,18,https://www.coingecko.com/en/coins/precium,https://ethplorer.io/images/PCM6096d246.png
